pressure_loss,size_1/2_0.042,size_3/4_0.063,size_1_0.084,size_1-1/4_0.105,size_1-1/2_0.126,size_2_0.167
0.5,,,,,,4.5
1,,,,,,6.5
2,,,,,4.5,11
3,,,,4,5.5,22
4,,,,4.5,6.5,33
5,,,,5,7.5,42
6,,,,5.5,8.5,53
7,,,4,6,11,
8,,,4,6,13.5,
9,,,4,6.5,,
10,,,4.5,7,,
11,,,4.5,,,
12,,,4.5,,,
13,,,4.5,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
