pressure_loss,size_1/2_0.042,size_3/4_0.063,size_1_0.084,size_1-1/4_0.105,size_1-1/2_0.126,size_2_0.167
0.5,0.5,1.5,3,6,10,23
1,0.5,2,4,9.5,15.5,37
2,1,3,7,14,24,66
3,1.5,4,10,19,32,100
4,1.5,5,11.5,22.5,40,128
5,2,6,14,25.5,47,155
6,2,7,15.5,29,55,171
7,2,8,17.5,33,63,
8,2.5,9,19,37,68,
9,2.5,9,20.5,40,,
10,2.5,9.5,21.5,41,,
11,3,10,23,,,
12,3,10.5,24,,,
13,3,11.5,,,,
14,3,12.5,,,,
15,3.5,12.5,,,,
16,3.5,13,,,,
17,3.5,,,,,
18,4,,,,,
19,4,,,,,
20,4,,,,,
21,4,,,,,
22,4,,,,,
23,5,,,,,
