pressure_loss,size_1/2_0.042,size_3/4_0.063,size_1_0.084,size_1-1/4_0.105,size_1-1/2_0.126,size_2_0.167,size_2-1/2_0.209,size_3_0.251
0.5,,2.5,5,11.5,18,37,80,200
1,,3.5,9,18,27.5,66,155,345
2,,6.5,13,28,47,124,285,572
3,,9,17.5,37,66,185,385,755
4,,10,21.5,47,86,235,449,
5,,11.5,24,57,110,267,,
6,,13,27.5,66,124,,,
7,,15,30,76,128,,,
8,,15.5,33,80,,,,
9,,17.5,37,,,,,
10,,18,39,,,,,
11,,20,,,,,,
12,,20.5,,,,,,
13,,21.5,,,,,,
