pressure_loss,size_1/2_0.042,size_3/4_0.063,size_1_0.084,size_1-1/4_0.105,size_1-1/2_0.126,size_2_0.167
0.5,,,,,,5
1,,,,,4,7.5
2,,,,4,5.5,18.5
3,,,,4.5,7,33
4,,,,5,8,48
5,,,4,5.5,10,65
6,,,4,6.5,13.5,73
7,,,4.5,7,17.5,
8,,,4.5,7.5,19,
9,,,4.5,8,,
10,,,5,8,,
11,,,5,,,
12,,,5.5,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,4,,,,
