pressure_loss,size_1/2_0.042,size_3/4_0.063,size_1_0.084,size_1-1/4_0.105,size_1-1/2_0.126,size_2_0.167,size_2-1/2_0.209,size_3_0.251,size_4_0.334
0.5,,,,,4,7.5,30,90,462
1,,,,4,5,17.5,72,211,909
2,,,,4.5,7.5,44,175,468,1694
3,,,4,6,12.5,75,283,698,1792
4,,,4,7,18.5,108,356,,
5,,,4.5,8,26,136,,,
6,,,5,9,33,,,,
7,,,5.5,12.5,37,,,,
8,,,6,15,,,,,
9,,,6,,,,,,
10,,4,6.5,,,,,,
11,,4,6.5,,,,,,
12,,4,,,,,,,
13,,4,,,,,,,
14,,4,,,,,,,
